STL loaded: 61329 triangles
Dimensions: X[-0.475..1.102] Y[-0.390..0.343] Z[-0.503..0.779] m

=============================================================
    TURBO MONSTER 1.3L TRIPLE тАФ COMBAT SIMULATION
    2-Stroke | Turbo | Direct Injection | ALS Active
=============================================================
Time(s) | RPM   | Boost | EGT(C) | Wf(g/s) | Power(kW) | Torque(Nm) | Mode
-----------------------------------------------------------------
   0.0 |     1 | 1.01 |  227 |    0.06 |      0.0 |      0.0 | G0   0km/h | OFF
   9.1 |  8847 | 1.24 |  780 |   47.43 |    244.4 |    260.1 | G4 409km/h | ALS-SPOOL
   9.2 |  9029 | 1.25 |  776 |   51.28 |    250.4 |    261.0 | G4 418km/h | ALS-SPOOL
   9.3 |  9210 | 1.25 |  772 |   54.93 |    255.6 |    260.9 | G4 426km/h | ALS-SPOOL
   9.4 |  9390 | 1.25 |  768 |   58.14 |    259.8 |    259.9 | G4 435km/h | ALS-SPOOL
   9.5 |  9556 | 1.26 |  708 |   20.20 |    211.9 |    209.3 | G4 443km/h | ALS-SPOOL
   9.6 |  9693 | 1.26 |  710 |   20.63 |    216.1 |    210.3 | G4 450km/h | ALS-SPOOL
   9.7 |  9834 | 1.26 |  709 |   20.85 |    217.5 |    208.7 | G4 456km/h | ALS-SPOOL
   9.8 |  9972 | 1.27 |  704 |   20.88 |    216.6 |    204.8 | G4 463km/h | ALS-SPOOL
   9.9 | 10105 | 1.27 |  697 |   20.74 |    213.5 |    199.2 | G4 469km/h | ALS-SPOOL
  10.0 | 10233 | 1.27 |  688 |   20.47 |    208.8 |    192.3 | G4 475km/h | ALS-SPOOL
  10.1 | 10354 | 1.27 |  677 |   20.11 |    203.0 |    184.6 | G4 481km/h | ALS-SPOOL
  10.2 | 10470 | 1.28 |  665 |   19.69 |    196.6 |    176.7 | G4 487km/h | ALS-SPOOL
  10.3 | 10579 | 1.28 |  654 |   19.25 |    189.9 |    168.8 | G4 492km/h | ALS-SPOOL
  10.4 | 10670 | 1.28 |  604 |   18.85 |    161.9 |    142.3 | G4 497km/h | ALS-SPOOL
  10.5 | 10753 | 1.28 |  596 |   18.48 |    156.7 |    136.6 | G4 501km/h | ALS-SPOOL
  10.6 | 10833 | 1.28 |  588 |   18.12 |    151.8 |    131.2 | G4 505km/h | ALS-SPOOL
  10.7 | 10908 | 1.28 |  581 |   17.79 |    147.1 |    126.3 | G4 508km/h | ALS-SPOOL
