C:\kb>cpppppp.exe
STL loaded: 61329 triangles
Dimensions: X[-0.475..1.102] Y[-0.390..0.343] Z[-0.503..0.779] m

=============================================================
    TURBO MONSTER 1.3L TRIPLE тАФ COMBAT SIMULATION
    2-Stroke | Turbo | Direct Injection | ALS Active
=============================================================
Time(s) | RPM   | Boost | EGT(C) | Wf(g/s) | Power(kW) | Torque(Nm) | Mode
-----------------------------------------------------------------
PEDAL:0.80 ICE:10.3g/s ALS:25.0g/s EXH_AFR:6.7
  12.1 | 10367 | 1.24 | 1098 |   74.75 |    221.1 |    202.4 | G4 480km/h | ALS-BANG
PEDAL:0.80 ICE:10.0g/s ALS:25.0g/s EXH_AFR:6.5
  12.2 | 10556 | 1.25 | 1098 |   74.75 |    220.7 |    198.3 | G4 489km/h | ALS-BANG
PEDAL:0.80 ICE:9.6g/s ALS:25.0g/s EXH_AFR:6.2
  12.3 | 10738 | 1.25 | 1098 |   74.75 |    220.1 |    194.3 | G4 498km/h | ALS-BANG
PEDAL:0.80 ICE:9.3g/s ALS:25.0g/s EXH_AFR:6.0
  12.4 | 10916 | 1.26 | 1098 |   74.75 |    219.6 |    190.6 | G4 506km/h | ALS-BANG
PEDAL:0.80 ICE:9.0g/s ALS:25.0g/s EXH_AFR:5.8
  12.5 | 11089 | 1.26 | 1098 |   74.75 |    219.2 |    187.3 | G4 514km/h | ALS-BANG
PEDAL:0.80 ICE:8.7g/s ALS:25.0g/s EXH_AFR:5.7
  12.6 | 11258 | 1.27 | 1098 |   74.75 |    219.1 |    184.3 | G4 522km/h | ALS-BANG
PEDAL:0.80 ICE:8.5g/s ALS:25.0g/s EXH_AFR:5.6
  12.7 | 11423 | 1.27 | 1098 |   74.75 |    219.3 |    181.7 | G4 530km/h | ALS-BANG
PEDAL:0.80 ICE:8.4g/s ALS:25.0g/s EXH_AFR:5.5
  12.8 | 11585 | 1.28 | 1098 |   74.75 |    219.8 |    179.4 | G4 538km/h | ALS-BANG
PEDAL:0.80 ICE:8.3g/s ALS:25.0g/s EXH_AFR:5.4
  12.9 | 11744 | 1.28 | 1098 |   74.75 |    220.6 |    177.6 | G4 545km/h | ALS-BANG
PEDAL:0.80 ICE:8.3g/s ALS:25.0g/s EXH_AFR:5.4
  13.0 | 11900 | 1.29 | 1098 |   74.75 |    221.7 |    176.1 | G4 553km/h | ALS-BANG
PEDAL:0.80 ICE:8.3g/s ALS:25.0g/s EXH_AFR:5.4
  13.1 | 12054 | 1.29 | 1098 |   74.75 |    223.1 |    174.9 | G4 560km/h | ALS-BANG
PEDAL:0.80 ICE:8.4g/s ALS:25.0g/s EXH_AFR:5.5
  13.2 | 12207 | 1.30 | 1098 |   74.75 |    224.8 |    173.9 | G4 567km/h | ALS-BANG
PEDAL:0.80 ICE:8.4g/s ALS:25.0g/s EXH_AFR:5.5
  13.3 | 12358 | 1.30 | 1098 |   74.75 |    226.8 |    173.2 | G4 574km/h | ALS-BANG
PEDAL:0.80 ICE:8.5g/s ALS:25.0g/s EXH_AFR:5.5
  13.4 | 12494 | 1.31 | 1150 |    4.16 |      2.7 |      0.0 | G4 581km/h | ALS-BANG
PEDAL:0.80 ICE:8.5g/s ALS:25.0g/s EXH_AFR:5.5
  13.5 | 12437 | 1.31 | 1150 |    6.50 |      2.7 |      0.0 | G4 582km/h | ALS-BANG
PEDAL:0.80 ICE:8.5g/s ALS:25.0g/s EXH_AFR:5.5
  13.6 | 12400 | 1.31 | 1150 |    6.50 |      2.7 |      0.0 | G4 580km/h | ALS-BANG
PEDAL:0.80 ICE:8.5g/s ALS:25.0g/s EXH_AFR:5.5
  13.7 | 12364 | 1.31 | 1150 |    6.50 |      2.8 |      0.0 | G4 579km/h | ALS-BANG
PEDAL:0.80 ICE:8.5g/s ALS:25.0g/s EXH_AFR:5.5
  13.8 | 12329 | 1.31 | 1150 |    6.50 |      2.8 |      0.0 | G4 577km/h | ALS-BANG
PEDAL:0.80 ICE:8.5g/s ALS:25.0g/s EXH_AFR:5.5
  13.9 | 12293 | 1.32 | 1150 |    6.50 |      2.8 |      0.0 | G4 575km/h | ALS-BANG
  14.0 | 12258 | 1.32 |  462 |    6.68 |      3.2 |      0.0 | G4 574km/h | ALS-SPOOL
  14.1 | 12256 | 1.31 |  461 |   11.08 |     31.7 |     22.1 | G4 573km/h | ALS-SPOOL
  14.2 | 12248 | 1.30 |  462 |   11.02 |     31.2 |     21.8 | G4 573km/h | ALS-SPOOL
  14.3 | 12239 | 1.30 |  463 |   10.97 |     30.8 |     21.6 | G4 572km/h | ALS-SPOOL
  14.4 | 12231 | 1.29 |  464 |   10.93 |     30.4 |     21.3 | G4 572km/h | ALS-SPOOL
  14.5 | 12222 | 1.29 |  465 |   10.89 |     30.0 |     21.1 | G4 572km/h | ALS-SPOOL
  14.6 | 12213 | 1.29 |  465 |   10.85 |     29.7 |     21.0 | G4 571km/h | ALS-SPOOL
  14.7 | 12204 | 1.28 |  466 |   10.82 |     29.5 |     20.8 | G4 571km/h | ALS-SPOOL
  14.8 | 12195 | 1.28 |  467 |   10.78 |     29.2 |     20.7 | G4 570km/h | ALS-SPOOL
  14.9 | 12186 | 1.28 |  467 |   10.76 |     29.0 |     20.6 | G4 570km/h | ALS-SPOOL
  15.0 | 12177 | 1.27 |  468 |   10.73 |     28.9 |     20.5 | G4 569km/h | ALS-SPOOL
  15.1 | 12168 | 1.27 |  468 |   10.71 |     28.7 |     20.5 | G4 569km/h | ALS-SPOOL
  15.2 | 12159 | 1.27 |  469 |   10.69 |     28.6 |     20.4 | G4 569km/h | ALS-SPOOL
  15.3 | 12150 | 1.27 |  469 |   10.67 |     28.5 |     20.4 | G4 568km/h | ALS-SPOOL
  15.4 | 12141 | 1.27 |  470 |   10.65 |     28.5 |     20.3 | G4 568km/h | ALS-SPOOL
  15.5 | 12132 | 1.26 |  470 |   10.63 |     28.4 |     20.3 | G4 567km/h | ALS-SPOOL
  15.6 | 12123 | 1.26 |  470 |   10.62 |     28.3 |     20.3 | G4 567km/h | ALS-SPOOL
  15.7 | 12114 | 1.26 |  471 |   10.60 |     28.3 |     20.3 | G4 566km/h | ALS-SPOOL
